cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;obitos_infantis;nascidos_vivos;TMI;ANO
520260;5202601;Aurilândia;GO;3284;0;33;0.0;2021
520280;5202809;Avelinópolis;GO;2868;1;23;43.47826086956522;2021
520310;5203104;Baliza;GO;3351;0;30;0.0;2021
520320;5203203;Barro Alto;GO;10371;2;142;14.084507042253522;2021
520330;5203302;Bela Vista de Goiás;GO;34445;3;420;7.142857142857142;2021
520340;5203401;Bom Jardim de Goiás;GO;7826;0;120;0.0;2021
520350;5203500;Bom Jesus de Goiás;GO;23958;1;340;2.941176470588235;2021
520355;5203559;Bonfinópolis;GO;10296;4;123;32.520325203252035;2021
520357;5203575;Bonópolis;GO;3299;0;42;0.0;2021
520360;5203609;Brazabrantes;GO;3992;0;40;0.0;2021
520380;5203807;Britânia;GO;5695;1;86;11.627906976744185;2021
520390;5203906;Buriti Alegre;GO;10495;0;113;0.0;2021
520393;5203939;Buriti de Goiás;GO;2732;0;33;0.0;2021
520396;5203962;Buritinópolis;GO;3145;0;52;0.0;2021
520400;5204003;Cabeceiras;GO;7560;2;88;22.727272727272727;2021
520410;5204102;Cachoeira Alta;GO;11513;1;111;9.00900900900901;2021
520420;5204201;Cachoeira de Goiás;GO;1405;0;19;0.0;2021
520425;5204250;Cachoeira Dourada;GO;7782;1;66;15.151515151515152;2021
520430;5204300;Caçu;GO;13774;0;162;0.0;2021
520440;5204409;Caiapônia;GO;16513;2;205;9.75609756097561;2021
520450;5204508;Caldas Novas;GO;98622;18;1260;14.285714285714285;2021
520455;5204557;Caldazinha;GO;4507;0;34;0.0;2021
520460;5204607;Campestre de Goiás;GO;3755;0;45;0.0;2021
520465;5204656;Campinaçu;GO;3708;0;37;0.0;2021
520470;5204706;Campinorte;GO;12510;2;140;14.285714285714285;2021
520480;5204805;Campo Alegre de Goiás;GO;7422;1;88;11.363636363636363;2021
520485;5204854;Campo Limpo de Goiás;GO;8081;1;120;8.333333333333334;2021
520490;5204904;Campos Belos;GO;18108;6;300;20.0;2021
520495;5204953;Campos Verdes;GO;4005;0;49;0.0;2021
520500;5205000;Carmo do Rio Verde;GO;9710;4;89;44.9438202247191;2021
520505;5205059;Castelândia;GO;2985;2;28;71.42857142857143;2021
520510;5205109;Catalão;GO;114427;11;1400;7.857142857142858;2021
520520;5205208;Caturaí;GO;5184;0;42;0.0;2021
520530;5205307;Cavalcante;GO;9583;5;136;36.76470588235294;2021
520540;5205406;Ceres;GO;22046;0;285;0.0;2021
520545;5205455;Cezarina;GO;8090;2;81;24.691358024691358;2021
520547;5205471;Chapadão do Céu;GO;12870;1;214;4.672897196261682;2021
520549;5205497;Cidade Ocidental;GO;91767;9;1156;7.7854671280276815;2021
