cod_mun_ibge_6;ANO;UF;municipio;populacao;TMI;COBERTURA_PRENATAL;TAXA_MEDICOS;PROP_CESAREOS;PROP_MAL_DEFINIDAS;DOENCAS_CRONICAS
521490;2021;GO;Nova Roma;3076;27.777777777777775;55.55555555555556;0.6501950585175553;47.22222222222222;5.555555555555555;3.2509752925877766
521490;2022;GO;Nova Roma;3076;34.48275862068965;72.41379310344827;0.32509752925877766;55.172413793103445;5.0;0.0
521500;2021;GO;Nova Veneza;9481;45.45454545454545;80.68181818181817;0.21094821221390148;70.45454545454545;2.1505376344086025;0.0
521500;2022;GO;Nova Veneza;9481;17.094017094017097;76.92307692307693;0.21094821221390148;79.48717948717949;2.564102564102564;4.2189642442780295
521520;2021;GO;Novo Brasil;3527;0.0;85.36585365853658;0.5670541536716757;78.04878048780488;4.444444444444445;14.17635384179189
521520;2022;GO;Novo Brasil;3527;0.0;91.66666666666666;0.5670541536716757;80.55555555555556;0.0;25.517436915225407
521523;2021;GO;Novo Gama;103804;9.900990099009901;57.07213578500707;0.01926708026665639;46.67609618104668;0.7029876977152899;0.9633540133328196
521523;2022;GO;Novo Gama;103804;12.345679012345679;65.12345679012346;0.01926708026665639;42.824074074074076;0.6912442396313364;0.2890062039998459
521525;2021;GO;Novo Planalto;3716;0.0;85.1063829787234;0.5382131324004306;87.2340425531915;2.857142857142857;8.073196986006458
521525;2022;GO;Novo Planalto;3716;0.0;75.0;0.5382131324004306;87.5;5.714285714285714;16.146393972012916
521530;2021;GO;Orizona;16399;4.716981132075471;67.9245283018868;0.1219586560156107;59.43396226415094;0.7518796992481203;92.68857857186414
521530;2022;GO;Orizona;16399;0.0;69.6969696969697;0.1219586560156107;56.56565656565656;0.7575757575757576;100.61589121287884
521540;2021;GO;Ouro Verde de Goiás;4057;0.0;88.67924528301887;0.49297510475720974;75.47169811320755;0.0;0.0
521540;2022;GO;Ouro Verde de Goiás;4057;23.809523809523807;88.09523809523809;0.49297510475720974;71.42857142857143;0.0;4.929751047572097
521550;2021;GO;Ouvidor;7200;12.82051282051282;85.8974358974359;0.2777777777777778;75.64102564102564;1.5384615384615385;5.555555555555555
521550;2022;GO;Ouvidor;7200;11.235955056179774;86.51685393258427;0.2777777777777778;70.78651685393258;1.639344262295082;11.11111111111111
521560;2021;GO;Padre Bernardo;34967;17.676767676767675;55.05050505050505;0.05719678554065261;58.333333333333336;4.25531914893617;2.2878714216261047
521560;2022;GO;Padre Bernardo;34967;25.28735632183908;68.96551724137932;0.05719678554065261;62.52873563218391;3.0456852791878175;2.8598392770326306
521565;2021;GO;Palestina de Goiás;3132;0.0;88.63636363636364;0.6385696040868455;90.9090909090909;5.88235294117647;6.385696040868455
521565;2022;GO;Palestina de Goiás;3132;0.0;80.0;0.6385696040868455;92.5;4.545454545454546;6.385696040868455
521570;2021;GO;Palmeiras de Goiás;31858;11.441647597254004;65.90389016018307;0.06277857994852157;74.14187643020595;0.39215686274509803;1.2555715989704312
521570;2022;GO;Palmeiras de Goiás;31858;8.791208791208792;69.67032967032966;0.06277857994852157;74.28571428571429;0.4694835680751174;1.2555715989704312
521580;2021;GO;Palmelo;2259;0.0;80.0;0.8853474988933157;60.0;5.263157894736842;0.0
521580;2022;GO;Palmelo;2259;0.0;83.33333333333334;0.8853474988933157;72.22222222222221;11.11111111111111;22.13368747233289
521590;2021;GO;Palminópolis;3851;0.0;80.0;0.5193456245131135;88.88888888888889;0.0;5.193456245131134
521590;2022;GO;Palminópolis;3851;0.0;75.60975609756098;0.5193456245131135;90.2439024390244;0.0;7.790184367696702
521600;2021;GO;Panamá;2455;0.0;68.75;0.814663951120163;90.625;0.0;4.0733197556008145
521600;2022;GO;Panamá;2455;0.0;75.0;0.814663951120163;75.0;8.823529411764707;0.0
521630;2021;GO;Paranaiguara;7607;12.195121951219512;76.82926829268293;0.2629157355067701;96.34146341463415;0.0;19.718680163007757
521630;2022;GO;Paranaiguara;7607;11.235955056179774;93.25842696629213;0.2629157355067701;95.50561797752809;0.0;21.033258840541606
521640;2021;GO;Paraúna;10659;14.285714285714285;82.85714285714286;0.18763486255746317;89.28571428571429;0.0;30.959752321981426
521640;2022;GO;Paraúna;10659;6.493506493506494;85.71428571428571;0.18763486255746317;92.20779220779221;0.0;15.010789004597054
521645;2021;GO;Perolândia;2964;0.0;75.0;0.6747638326585694;100.0;0.0;0.0
521645;2022;GO;Perolândia;2964;0.0;70.27027027027027;0.6747638326585694;100.0;15.789473684210526;0.0
521680;2021;GO;Petrolina de Goiás;9573;28.57142857142857;65.71428571428571;0.20892092343048158;90.0;0.8403361344537815;101.32664786378356
521680;2022;GO;Petrolina de Goiás;9573;0.0;63.74999999999999;0.20892092343048158;82.5;0.0;72.07771858351613
