cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;total_obitos;obitos_mal_definidas;PROP_MAL_DEFINIDAS;TX_MAL_DEFINIDAS_P10K;ANO
171330;1713304;Miranorte;TO;12701;100;0;0.0;0.0;2022
171360;1713601;Monte do Carmo;TO;5694;32;1;3.125;1.7562346329469616;2022
171370;1713700;Monte Santo do Tocantins;TO;2396;17;1;5.88235294117647;4.173622704507513;2022
171380;1713809;Palmeiras do Tocantins;TO;4872;30;2;6.666666666666667;4.105090311986864;2022
171395;1713957;Muricilândia;TO;3367;22;0;0.0;0.0;2022
171420;1714203;Natividade;TO;8754;50;5;10.0;5.711674663011195;2022
171430;1714302;Nazaré;TO;4521;24;1;4.166666666666666;2.2119000221190004;2022
171488;1714880;Nova Olinda;TO;10367;85;0;0.0;0.0;2022
171500;1715002;Nova Rosalândia;TO;3362;37;0;0.0;0.0;2022
171510;1715101;Novo Acordo;TO;3969;28;3;10.714285714285714;7.558578987150416;2022
171515;1715150;Novo Alegre;TO;1846;18;1;5.555555555555555;5.417118093174431;2022
171525;1715259;Novo Jardim;TO;2230;17;4;23.52941176470588;17.937219730941703;2022
171550;1715507;Oliveira de Fátima;TO;1164;6;1;16.666666666666664;8.59106529209622;2022
171570;1715705;Palmeirante;TO;4798;37;1;2.7027027027027026;2.084201750729471;2022
171575;1715754;Palmeirópolis;TO;6975;39;1;2.564102564102564;1.4336917562724014;2022
171610;1716109;Paraíso do Tocantins;TO;52360;352;1;0.2840909090909091;0.19098548510313215;2022
171620;1716208;Paranã;TO;10542;81;1;1.2345679012345678;0.9485866059571239;2022
171630;1716307;Pau D'Arco;TO;4043;30;1;3.3333333333333335;2.473410833539451;2022
171650;1716505;Pedro Afonso;TO;14055;85;6;7.0588235294117645;4.268943436499466;2022
171660;1716604;Peixe;TO;9317;53;0;0.0;0.0;2022
171665;1716653;Pequizeiro;TO;4921;39;0;0.0;0.0;2022
171670;1716703;Colméia;TO;8941;60;1;1.6666666666666667;1.1184431271669835;2022
171700;1717008;Pindorama do Tocantins;TO;4478;38;0;0.0;0.0;2022
171720;1717206;Piraquê;TO;2282;15;2;13.333333333333334;8.76424189307625;2022
171750;1717503;Pium;TO;7128;45;1;2.2222222222222223;1.4029180695847363;2022
171780;1717800;Ponte Alta do Bom Jesus;TO;4220;24;1;4.166666666666666;2.3696682464454977;2022
171790;1717909;Ponte Alta do Tocantins;TO;7586;52;2;3.8461538461538463;2.636435539151068;2022
171800;1718006;Porto Alegre do Tocantins;TO;2866;21;3;14.285714285714285;10.467550593161201;2022
171820;1718204;Porto Nacional;TO;64418;452;2;0.4424778761061947;0.3104722282591822;2022
171830;1718303;Praia Norte;TO;9044;34;1;2.941176470588235;1.1057054400707653;2022
171840;1718402;Presidente Kennedy;TO;3047;31;2;6.451612903225806;6.563833278634722;2022
