CO_MICIBGE CO_ATIVOTATUATIVO  DS_NOME                              DS_NOMEPAD                                 DS_ABREV                             NU_ORDEM
28000      IGNOR              Municipio Ignorado - Se -            MUNICIPIO IGNORADO - SE -                  Municipio Ignorado - Se -            8
28001      ATIVO              Sergipana Do Sertao Do Sao Francisco SERGIPANA DO SERTAO DO SAO FRANCISCO - SE  Sergipana Do Sertao Do Sao Francisco 1
28002      ATIVO              Carira - SE                          CARIRA - SE                                Carira - SE                          1
28003      ATIVO              Nossa Senhora Das Dores - SE         NOSSA SENHORA DAS DORES - SE               Nossa Senhora Das Dores - SE         1
28004      ATIVO              Agreste De Itabaiana - SE            AGRESTE DE ITABAIANA - SE                  Agreste De Itabaiana - SE            1
28005      ATIVO              Tobias Barreto - SE                  TOBIAS BARRETO - SE                        Tobias Barreto - SE                  1
28006      ATIVO              Agreste De Lagarto - SE              AGRESTE DE LAGARTO - SE                    Agreste De Lagarto - SE              1
28007      ATIVO              Propria - SE                         PROPRIA - SE                               Propria - SE                         1
28008      ATIVO              Cotinguiba - SE                      COTINGUIBA - SE                            Cotinguiba - SE                      1
28009      ATIVO              Japaratuba - SE                      JAPARATUBA - SE                            Japaratuba - SE                      1
28010      ATIVO              Baixo Cotinguiba - SE                BAIXO COTINGUIBA - SE                      Baixo Cotinguiba - SE                1
28011      ATIVO              Aracaju - SE                         ARACAJU - SE                               Aracaju - SE                         1
28012      ATIVO              Boquim - SE                          BOQUIM - SE                                Boquim - SE                          1
28013      ATIVO              Estancia - SE                        ESTANCIA - SE                              Estancia - SE                        1
29000      IGNOR              Municipio Ignorado - Ba -            MUNICIPIO IGNORADO - BA -                  Municipio Ignorado - Ba -            8
29001      ATIVO              Barreiras - BA                       BARREIRAS - BA                             Barreiras - BA                       1
29002      ATIVO              Cotegipe - BA                        COTEGIPE - BA                              Cotegipe - BA                        1
29003      ATIVO              Santa Maria Da Vitoria - BA          SANTA MARIA DA VITORIA - BA                Santa Maria Da Vitoria - BA          1
29004      ATIVO              Juazeiro - BA                        JUAZEIRO - BA                              Juazeiro - BA                        1
29005      ATIVO              Paulo Afonso - BA                    PAULO AFONSO - BA                          Paulo Afonso - BA                    1
29006      ATIVO              Barra - BA                           BARRA - BA                                 Barra - BA                           1
29007      ATIVO              Bom Jesus Da Lapa - BA               BOM JESUS DA LAPA - BA                     Bom Jesus Da Lapa - BA               1
29008      ATIVO              Senhor Do Bonfim - BA                SENHOR DO BONFIM - BA                      Senhor Do Bonfim - BA                1
29009      ATIVO              Irece - BA                           IRECE - BA                                 Irece - BA                           1
